raw_character_text,dialogue
Homer Simpson,"Yeah, like when I pick my teeth with the mail and stuff..."
Marge Simpson,"Well, maybe just a little."
,
Homer Simpson,"Ahhh, another beautiful day in the womb. La-la-la-la--la-... ...la-la-la... la-la-la..."
Homer Simpson,Leggo! Leggo!
,
Homer Simpson,I'm all naked and wet!
Marge Simpson,"Get up, Homer. It's time for church."
Homer Simpson,Don' wanna go.
Marge Simpson,It's church. You have to go.
Homer Simpson,Too cold out!
Marge Simpson,I'm tired of having this argument every Sunday. Get dressed.
Homer Simpson,"Oh, stupid itchy church pants..."
Homer Simpson,"One size fits all, my butt!"
Marge Simpson,Come on. We're going to be late.
Homer Simpson,Forget it. I'm not going.
Marge Simpson,
,
Bart Simpson,"Hey, where's Homer?"
Marge Simpson,Your father is... resting.
Bart Simpson,"""Resting"" hung over, ""resting"" got fired..? Help me out here."
,
Homer Simpson,"Ahhh. I'm just a big toasty cinnamon bun. I never want to leave this bed. Uh-oh. Gotta take a whiz. Think, man, think... think, think, think. I better get up."
Homer Simpson,I'm whizzing with the door open -- and I love it!
Homer Simpson,"Whyyy, oh whyyy... Delilahhh?"
Marty,It's eleven KBBL degrees below zero. I hope you're someplace warm.
Homer Simpson,You bet your sweet... ass!
,
Grampa Simpson,Dog gone it!
Male Parishoner,"Yeah, what's the story."
Rev. Timothy Lovejoy,"But let's just put it out of our minds, and turn to the Lamentation Of Jeremiah, Long Version."
Rev. Timothy Lovejoy,"Joy is gone from our hearts, our dancing has turned to mourning."
,
Singers,Who wears short shorts?
Homer Simpson,I wear short shorts!
Homer Simpson,"The perfect chance to make my patented, space age, out-of-this-world Moon Waffles."
Homer Simpson,"Let's see here... caramels, waffle batter...liquid smoke..."
Homer Simpson,"Oooh, waffle run off."
Homer Simpson,"Mmm, fattening."
,
Rev. Timothy Lovejoy,... and he was cast into the fiery cauldron of hell!
Rev. Timothy Lovejoy,The searing heat... the scalding rivers of molten sulfur...
Bart Simpson,Ahhh... I'm there.
,
Homer Simpson,"Uh-oh. Here, boy."
Homer Simpson,"Okay, okay, okay, okay, okay."
,
Rev. Timothy Lovejoy,The service has ended. Go in Peace.
Ned Flanders,The door's frozen shut... and it's the only way out!
Lisa Simpson,"""Our Father, who art in Heaven, hallowed by thy..."""
Bart Simpson,"Lisa, this is neither the time nor the place."
,
Bill,"That was Johnny Calhoun, with ""Gonna Find Me a Genie With a Magic Bikini""."
Marty,"Of course, Johnny's next record was a spoken-word album of his right-wing political views, that kinda killed his career. If you can tell me the name of that album, call our contest line - now!"
Homer Simpson,I know that!
Homer Simpson,"Hello, this is Homer Simpson."
Bill,"Homer, can you name that title?"
Homer Simpson,This Things I Believe.
Marty,Uh... can we accept that?
Homer Simpson,Woo-hoo!
,
Rev. Timothy Lovejoy,"How's that door coming, Willie?"
Groundskeeper Willie,"Miracles are your department, Reverend."
,
,
Woman,You must be the three chiropractors I sent for. Now start manipulating my spine.
Stooge #1,"Hey Moe, we don't know nothin' about manipulatin'."
Stooge #2,You heard the lady - grab her spine and get cracking.
Homer Simpson,Heh-heh-heh... Moe is their leader.
Stooge #2,"Whoo, whoo, whoo, whoo, whoo."
Stooge #1,Why you...
Stooge #2,Hey!
,
Groundskeeper Willie,Huzzah!
Rev. Timothy Lovejoy,"Please, Christians, don't push."
Bart Simpson,"Excuse me... pardon me... whoop... comin' through... how ya doin'?... love that hat, baby..."
,
Homer Simpson,"Come on TV... gimme some of that sweet, sweet pap!"
Boring Guy,"Let's define our terms, gentleman. Are we talking about redistricting, or are we talking about reapportionment? Because the two are by no means the same."
Homer Simpson,"Oh, well... can't win 'em all."
Announcer,We interrupt this public affairs program to bring you a football game.
Homer Simpson,Yesss!
,
Marge Simpson,
Marge Simpson,
Lisa Simpson,Give it a little more gas.
Lisa Simpson,"No, no, that's too much."
Lisa Simpson,Know what I think would help?
Marge Simpson,What!? What would help!?
Lisa Simpson,Nothing.
,
Commentator,"Oh, doctor. A 98-yard triple reverse ties the score at 63-63! We have seen nothing but razzle-dazzle here today. Three visits from Morganna The Kissing Bandit... and the astonishing return of Jim Brown..."
Homer Simpson,Woo-hoo!
Homer Simpson,Is that what I think it is?
Abraham Lincoln,"Mmm, hmm."
Homer Simpson,I... found... a penny!
Homer Simpson,Could this be the best day of my life?
Homer Simpson,Looks like we have a new champion.
Homer Simpson,"Ah, my beloved family. How was church?"
Lisa Simpson,
Homer Simpson,"I, on the other hand, have been having the best day of my life. And I owe it all to skipping church!"
Marge Simpson,"That's a terrible thing to say. Kids, your father doesn't really mean that."
Homer Simpson,"Like fun I don't. Marge, I'm never going to church again."
Marge Simpson,Homer! Are you actually giving up your faith?
Homer Simpson,"No! No, no, no, no, no, no. Well, yes."
,
Marge Simpson,"I can't believe you're giving up church, Homer."
Homer Simpson,"Hey, what's the big deal about going to some building every Sunday? I mean, isn't God everywhere?"
Bart Simpson,"Amen, brother."
Homer Simpson,And don't you think that the Almighty has better things to worry about than where one little guy spends one measly hour of his week?
Bart Simpson,"Tell it, daddy!"
Homer Simpson,And what if we picked the wrong religion? Every week we're just making God madder and madder.
Bart Simpson,Testify!
Marge Simpson,
Marge Simpson,"Lord, my husband is by no means perfect, but he's a kind, decent man. Please show him the error of his ways."
Homer Simpson,"Marge, come to bed."
Marge Simpson,"No, Homer. He doesn't mean to be sacrilegious, Lord. He just likes to sleep in on Sundays..."
Homer Simpson,Maarge... come to bed Marge...
Homer Simpson,It's good for what ails ya...
Homer Simpson,I can wait all --
Homer Simpson,God?
God,THOU HAST FORSAKEN MY CHURCH!
Homer Simpson,Well... kind of... but...
God,BUT WHAT?
Homer Simpson,And YOU remember... Matthew... 21:17.
Homer Simpson,I'm not a bad guy. I work hard and I love my kids. So why should I spend half my Sunday hearing about how I'm going to hell?
God,"Hmm, you've got a point there."
God,"You know, sometimes even I'd rather be watching football. Does St. Louis still have a team?"
Homer Simpson,No. They moved to Phoenix.
God,Oh yeah.
Homer Simpson,You know what I really hate about church? Those boring sermons.
God,I couldn't agree more. That Reverend Lovejoy really displeases me. I think I'll give him a canker sore.
Homer Simpson,Give him one for me.
God,I will.
Homer Simpson,"So I figure I should just try to live right, and worship you in my own way."
God,"Homer, it's a deal. Now, if you'll excuse me, I have to appear on a tortilla in Mexico."
Lisa Simpson,"Dad, can I ask you a question?"
Homer Simpson,"Sure, honey."
Lisa Simpson,Why are you dedicating your life to blasphemy?
Homer Simpson,"Don't worry, Sweetheart. If I'm wrong, I'll recant on my deathbed."
Homer Simpson,"Hello, my animal friends. Peace be with you."
Homer Simpson,"Guys, please, could you give me five minutes?"
Marge Simpson,"Reverend Lovejoy, I had a bit of an ulterior motive in inviting you to dinner."
Rev. Timothy Lovejoy,What?!
Marge Simpson,"No, it's nothing bad. I'm just concerned, because my husband hasn't been attending your services lately."
Homer Simpson,"Well, I wasn't sure I was doing the right thing. But then God Himself told me I should seek a new path."
Rev. Timothy Lovejoy,"Oh, really?"
Homer Simpson,"Yeah, he appeared before me in a dream, and I knew that was special 'cause I usually dream about naked... Marge."
Marge Simpson,
Bart Simpson,"So, Homer, you saw the Big Cheese? What'd he look like?"
Homer Simpson,Perfect teeth - nice smell - a class act all the way.
Marge Simpson,"Homer, you're crazy. Tell him this is all crazy."
Rev. Timothy Lovejoy,"Homer, I'd like you to remember Matthew 7:26 -- ""The foolish man, who built his house on sand."""
Rev. Timothy Lovejoy,"""And he left them, and went out of the city into Bethany, and he lodged there""?"
Homer Simpson,Yeah... think about it.
,
Homer Simpson,"Hello, work? This is Homer Simpson. I won't be coming in tomorrow -- Religious holiday... The uh, Feast of... Maximum Occupancy."
Moe Szyslak,Pretty slick.
Homer Simpson,"Well, you should join my religion, Moe. It's great. No Hell... no kneeling...."
Moe Szyslak,"Sorry, Homer. I was born a Snake-Handler and I'll die a Snake-Handler."
,
Ned Flanders,"Neighbor, I heard about your heresy and we've made it our mission to win you back to the flock."
Homer Simpson,No sale.
Ned Flanders,"Homer, Christian life isn't all praying and sacrifice. Hey, dig this."
Flanders Family,"GOD SAID TO NOAH THERE'S GONNA BE A FLOODY, FLOODY --"
,
Flanders Family,"RAIN CAME DOWN... IT STARTED TO GET MUDDY, MUDDY..."
,
Flanders Family,"GET THOSE ANIMALS OUT ON THE ARKY, ARKY -"
Homer Simpson,Leave me alone!
Todd Flanders,"Dad, the heathen's getting away."
Ned Flanders,"I see him, son."
Homer Simpson,Where are we going?
Sailor,Garbage Island.
,
Marge Simpson,"Let's go, kids."
Bart Simpson,How come we have to go to church and Dad gets to stay home and watch cartoons?
Marge Simpson,"I have a responsibility to raise these children right and unless you change, I'll have to tell them their father is... well, wicked."
Homer Simpson,"Kids, let me tell you about another so-called wicked guy. He had long hair and some ""wild"" ideas and he didn't always do what other people thought was right. And that man's name was... I forget. But the point is... uh, I forget that too. Marge, you know who I'm talking about -- he used to drive that blue car --"
Marge Simpson,"Kids, could you wait outside for us?"
Marge Simpson,"Homer, please. Don't make me choose between my man and my God, because you just can't win."
Homer Simpson,There you go again. Always taking someone else's side. Flanders... the water department... God...
Marge Simpson,I'm only going to ask you one last time. Are you sure you won't come with us to church?
Announcer,"Coming up next, ""Make Your Own Ladder."""
Homer Simpson,Very sure.
,
Rev. Timothy Lovejoy,"My friends, the devil walks among us."
Bart Simpson,"Ooop, I got him."
Rev. Timothy Lovejoy,"No, don't look for the pitchfork and pointy tail. Today's devil has assumed a more seductive form, pleasing to the eye."
,
Homer Simpson,"Ooh! An interview with Lorne Michaels... wait, that's no good. Hey, now we're talkin'. ""Our Unabashed Dictionary defines IUD as 'Love Springs Internal'."" I don't get it."
Krusty the Clown,"Hello. I'm collecting for the Brotherhood of Jewish Clowns. Last year, tornadoes claimed the lives of seventy-five Jewish clowns. The worst incident was during our convention in Lubbock, Texas. There were floppy shoes and rainbow wigs everywhere... it was terrible..."
Homer Simpson,"Wait a minute, is this a religious thing?"
Krusty the Clown,"A religious clown thing, yes."
Homer Simpson,Sorry.
Krusty the Clown,But wait...
,
Rev. Timothy Lovejoy,"""Remember the Sabbath Day, to keep it holy!"""
,
Homer Simpson,"Apu, I see you're not in church."
Apu Nahasapeemapetilon,"Oh, but I am. I have a shrine to Ganesha, the god of worldly wisdom, located in the employee lounge."
Homer Simpson,"Hey Ganesha, want a peanut?"
Apu Nahasapeemapetilon,Please do not offer my god a peanut.
Homer Simpson,"No offense Apu, but when they were handing out religions, you must have been out takin' a whiz."
Apu Nahasapeemapetilon,"Mr. Simpson, please pay for your purchases and get out and come again."
,
Rev. Timothy Lovejoy,Pride goeth before destruction!
,
Homer Simpson,"Boy, everyone is stupid except me."
Homer Simpson,"Marge, turn down the heat. That's better."
Homer Simpson,"Fire! What do I do? What do I do? Oh, the song! The song! WHEN A FIRE STARTS TO BURN / THERE'S A LESSON YOU MUST LEARN / SOMETHING... SOMETHING, THEN YOU'LL SEE/YOU'LL AVOID CATASTROPHE!"
,
Apu Nahasapeemapetilon,Fire at the old Simpson place!
Apu Nahasapeemapetilon,You are on your honor not to steal anything.
Kearney Zzyzwicz,"Oh, we wooon't...."
Apu Nahasapeemapetilon,Little Jamshed... the store is in your hands.
Jamshed,How I have waited for this day.
,
Apu Nahasapeemapetilon,You ducks are really trying my patience. But you're so cute.
,
Ned Flanders,Homer! Homer!
Ned Flanders,Nooo!
Ned Flanders,"Dear Lord, may your loving hand guide Homer to the mattress square and true."
Ned Flanders,O-kay.
Homer Simpson,"Flanders, you saved me. Why?"
Ned Flanders,"Heck, you'd have done the same for me."
Ned Flanders,Help! Help!
Homer Simpson,"That's right, old friend."
Bart Simpson,Dad!
Marge Simpson,"Oh, Homey! Are you all right?"
Homer Simpson,"My Magazines and roach traps... gone, all gone."
Krusty the Clown,I saved your cat.
Krusty the Clown,"Ow, that hurt."
Barney Gumble,"Hey, what are these axes for?"
Chief Wiggum,I don't know. Choppin' stuff.
Barney Gumble,Gotcha.
,
Lisa Simpson,Truly this was an act of God.
Homer Simpson,"Hey, wait a minute... Flanders is a regular Charlie Church and God didn't save his house!"
Homer Simpson,
,
Insurance Agent,Any valuables in the house?
Homer Simpson,"Well, the Picasso... my collection of classic cars..."
Insurance Agent,"Sorry, this policy only covers actual losses, not made-up stuff."
Homer Simpson,"Well, that's just great."
Kent Brockman,Fire: Man's oldest foe. Insatiable... remorseless... unquenchable...
Chief Wiggum,"Hey, it's out."
Kent Brockman,"Coming up next... Which works better - springy clothes pins, or the other kind?"
Homer Simpson,"You know, I have a feeling there's a lesson here."
Marge Simpson,"Yes, the lesson is..."
Homer Simpson,"No, don't tell me, I'll get it... Oh, I know! The Lord is vengeful! O Spiteful One! Show me who to smite, and they shall be smoten!"
Ned Flanders,"Homer, God didn't set your house on fire."
Rev. Timothy Lovejoy,"No, but he was working in the hearts of your friends and neighbors when they went to your aid, be they Christian... Jew... or Miscellaneous..."
Apu Nahasapeemapetilon,Hindu. There are 700 million of us.
Rev. Timothy Lovejoy,"Ah, that's super."
Homer Simpson,"I was rude to every one of you... and you saved my life, when you could have just left me to fry, like the proverbial pancake that I am."
Marge Simpson,"Oh, Homie, I'm so glad to hear you say that."
Rev. Timothy Lovejoy,"Now, would you give church another try?"
Homer Simpson,"I'll be there next Sunday. Front row, center!"
,
God,Don't feel bad Homer. Nine out of ten religions fail in the first year.
Benjamin Franklin,"That's game, Hendrix!"
Homer Simpson,"God, I gotta ask you somethin'. What's the meaning of life?"
God,"Homer, I can't tell you that."
Homer Simpson,C'mon.
God,You'll find out when you die.
Homer Simpson,I can't wait that long.
God,You can't wait six months?
Homer Simpson,"No, tell me now!"
God,Well... okay. The meaning of life is...
,
Lawyer,"Principal Skinner, ""The Happiest Place on Earth"" is a registered Disneyland copyright."
Seymour Skinner,"Gentlemen, it's just a small school carnival."
Lawyer,"And it's heading for a great big lawsuit. You made a big mistake, Skinner."
Seymour Skinner,"Well, so did you. You got an ex-Green Beret mad."
Seymour Skinner,Copyright expired.
Barker,Annnd...begin!
Nelson Muntz,This sucks.
Martin Prince,
Nelson Muntz,Haw haw!
Bart Simpson,"Pick the red, get ahead, pick the black, set you back."
Seymour Skinner,I don't recall authorizing this booth.
Bart Simpson,"Goodbye, gentlemen."
Groundskeeper Willie,"Get yer haggis, right here! Chopped heart and lungs, boiled in a wee sheep's stomach! Tastes as good as it sounds. Good for what ails ya. Agh. Agh."
Booth Man,I'd say... 53 years old and 420 pounds.
Homer Simpson,"Ha, ha, you lose! 36 and 239!"
Booth Man,Oh.
Bart Simpson,"Hey, Otto-man. I dare you to make this go faster."
Otto Mann,"Ooo, challenge accepted!"
Otto Mann,I'll be in Mexico 'til this thing blows over.
Milhouse Van Houten,Oh boy! A spookhouse!
,
Kearney Zzyzwicz,Hand over all your money.
Jimbo Jones,
Bart Simpson,Was it scary?
Milhouse Van Houten,Uh-huh.
Bart Simpson,Oh baby!
Bart Simpson,Uh-oh.
,
Caricaturist,"So girlie, you like roller-skatin'?"
Lisa Simpson,No.
Caricaturist,"Yeah, everybody loves roller-skating. Okay you can turn around now."
Lisa Simpson,Oh my God. I'm ugly.
,
Seymour Skinner,"Now in a moment, we'll be raffling off our grand prize..."
Seymour Skinner,A ride on the famous Duff Beer Blimp!
Homer Simpson,A ride on the Duff Blimp...
Pilot,You see the circular pattern on those fields? That's from central-pivot irrigation.
Homer Simpson,Wow.
Pilot,"Now, let's see what's happening at the Super Bowl..."
Small Voice,Oops! Sorry.
Homer Simpson,"Ho-mer, Ho-mer, Ho-mer.."
Seymour Skinner,"But first, our second-prize winner, and the recipient of this handsome shoe buffer....... Ned Flanders!"
Ned Flanders,
Homer Simpson,"Oh, it's no fair. We'll never have a buffer."
Marge Simpson,We have one at home. You never use it.
Homer Simpson,"Well, I want that one."
Seymour Skinner,And the winner of the blimp ride is... Homer Simpson!
Homer Simpson,Oh my God!
,
Homer Simpson,HEY THERE BLIMPY BOY /FLYING THROUGH THE SKY SO FANCY FREE.
Homer Simpson,"Honey, what's wrong?"
Lisa Simpson,"Dad, do you think I'm ugly?"
Homer Simpson,What are you talking about?
Homer Simpson,"Heh heh heh... Oh, Lisa, this isn't real. It's just how you might look if you were a cartoon character."
Lisa Simpson,I'm an ugmo.
Homer Simpson,Now that's not true! You're cute as a bug's ear.
Lisa Simpson,Fathers have to say that stuff.
Homer Simpson,"Dad, am I cute as a bug's ear?"
Grampa Simpson,No! You're homely as a mule's butt!
Homer Simpson,"There, see?"
Lisa Simpson,"I'd like to be alone, please."
,
Homer Simpson,"Moe, have you ever felt unattractive?"
Moe Szyslak,Mmmm... no.
Homer Simpson,"How about you, Barney?"
Barney Gumble,Not for a second .
Homer Simpson,I need help.
Tv Father,Whee... whee... whee.... whee... wheeeee...
Tv Father,I guess every father thinks his daughter is the cutest.
Jack Larson,"Well, now, there's a way to prove it."
Tv Father,"Wow, president of Laramie Cigarettes, Jack Larson!"
Jack Larson,"This year, Laramie is sponsoring the Little Miss Springfield pageant. You see, government regulations prohibit us from advertising on TV. Ah, that sweet Carolina smoke. But they can't prohibit us from holding a beauty pageant for little girls age seven to nine."
Marge Simpson,That is so sweet.
Homer Simpson,Lisa's age seven to nine!
Jack Larson,"Your daughter could be crowned Little Miss Springfield by our host, the Maitre d' of glee, Krusty the Clown!"
Krusty the Clown,I heartily endorse this event or product.
Tv Daughter,What a feeling! I'm as happy as a smoker taking that first puff in the morning.
Homer Simpson,That could be Lisa!
Announcer,The Little Miss Springfield Pageant. Only 250 dollars to enter.
Homer Simpson,
Homer Simpson,"Hey, Barney, will you give me 250 bucks for this blimp ticket?"
Barney Gumble,Sure!
Homer Simpson,Where'd you get all the money?
Barney Gumble,"From some scientists. Since they stopped testing on animals, a guy like me can really clean up."
,
Lisa Simpson,I'm hideous.
Marge Simpson,"Lisa, I know a song that will cheer you up. THERE ONCE WAS AN UGLY DUCKLING..."
Lisa Simpson,So you think I'm ugly?
Marge Simpson,No! No! I meant you were one of the good-looking ducks... that makes fun of the ugly one.
Homer Simpson,"Lisa, if you could have one wish, what would it be?"
Lisa Simpson,To shut myself off from the world and never be seen by human eyes again.
Homer Simpson,"Uh, was your second wish to be entered in the Little Miss Springfield Pageant?"
Lisa Simpson,What are you talking about?
Homer Simpson,"I sent in an application for you. I couldn't find a big enough photo, so I sent in that funny drawing of you on roller skates."
Lisa Simpson,How could you? I won't do it!
Marge Simpson,"Homer, Lisa's already sensitive about her looks. This is the last thing she needs."
Homer Simpson,But I think she'll win.
Bart Simpson,"Dad, have you seen the girls they have in those contests? Hubba, hubba."
Homer Simpson,"Hey, nobody's prettier than my little girl."
Marge Simpson,You're looking at her through a father's eyes.
Homer Simpson,"Well, if I could gouge out somebody else's eyes and shove them into my sockets, I would. But to me, she's beautiful."
Marge Simpson,"Honey, no one's going to force you to do anything... but do you know how your father got the money to enter you in this pageant?"
Lisa Simpson,Nope.
Marge Simpson,He sold his ride on the Duff Blimp.
Lisa Simpson,But that ride meant everything to him!
Homer Simpson,Hey there blimpy boy Flying through the sky so fancy free --
Lisa Simpson,I'll do it.
,
Bitsy,Did you see Tina Epstein?
Ramona,"Whoa! If you're gonna binge, you better purge. Uh oh."
Ramona,Amber Dempsey.
Bitsy,"In the same week she was ""Pork Princess"" and ""Little Miss Kosher."""
Lisa Simpson,She's beautiful.
Ramona,Wait. She's about to bring out the big guns.
Bitsy,Eyelash implants.
Lisa Simpson,I thought those were illegal.
Bitsy,Not in Paraguay.
,
Lisa Simpson,There's no way I can beat this girl. She's the Jack Nicklaus of the pageant circuit.
Marge Simpson,"Oh, I don't know that she's as attractive as Jack Nicklaus..."
Lisa Simpson,"I meant because they both win all the time, Mom."
Marge Simpson,"Oh. Well, yes, that's what I meant, too. Well, tell you what. This afternoon, I'll take you to the beauty parlor and show you just how lovely you can be."
Bart Simpson,"And later I'll teach you the tricks of the trade: taping your swimsuit to your butt, petroleum jelly on your teeth for that frictionless smile, and the ancient art of padding ."
,
,
Lisa Simpson,Are we done?
Owner,We are just warming up.
Lisa Simpson,Isn't this dangerous?
Owner,Don't worry. I'm well protected.
,
Homer Simpson,"Boy, when Lisa comes in, I want you to make a big fuss over how she looks."
Bart Simpson,She'll see through me like Grandma's underpants.
Amber Dempsey,"My name is Amber Dempsey, and when I grow up, I want to be a sweetie pie!"
Homer Simpson,"No, she won't. When it comes to compliments, women are ravenous, blood-sucking monsters, always wantin' more, MORE! MORE! And if you give it to 'em, you'll get plenty back in return."
Bart Simpson,Like what?
Homer Simpson,I'll tell you when you're older.
Homer Simpson,
Homer Simpson,"Is that Lisa? Ooh, I gotta call heaven -- there's an angel missing!"
Bart Simpson,"And who's your little school friend? Wait a minute, that's Mom!"
Marge Simpson,I know two fellas who are gonna get a special dinner tonight.
Homer Simpson,Hey... hey!
Bart Simpson,"Whooo! Whooo! Dad, do you know anything else about women?"
Homer Simpson,"Nope, that's it."
,
Ice Cream Lady,"Hey brush head, you've been nursing that thing for an hour."
Bart Simpson,"You know, I was just wondering how someone who works in an ice cream store keeps such a trim figure."
Ice Cream Lady,I've misjudged you.
,
Choreographer,"I said step-pause-turn-pause-pivot-step-step, not step-pause-turn-pause-pivot-step-pause. Ooh, Shudder!"
,
Bart Simpson,And the winner is... Lisa Simpson!
Bart Simpson,"Okay, wipe away a tear... ... hug the loser..."
Bart Simpson,And now for your triumphant walk down the runway.
Lisa Simpson,It's hopeless.
Bart Simpson,There's nothing to it. Give me those heels.
Bart Simpson,Heel -- toe. Heel -- toe. Heel -- toe.
Lisa Simpson,Do you really think I can win?
Bart Simpson,"Hey, I'm starting to think I can win."
Lisa Simpson,But those other girls are prettier than me.
Bart Simpson,"Lis, as your brother, this is the hardest thing I've ever had to say. You're not ugly."
Lisa Simpson,Oh Bart.
,
,
Contestants,OUT ON OUR OWN / MAKING IT WORK / GASPING FOR AIR / HAVING IT ALL!...
Marge Simpson,Oh Grampa!
Pahasatira,"I am Pahasatira Mahasapeenapetilon, and tonight I will be playing MacArthur Park on the tabla."
Pahasatira,"No, I'm serious."
Sanjay Nahasapeemapetilon,"Yes, Judges, there's your queen."
Marge Simpson,Who's watching the Kwik-E-Mart?
,
,
Lisa Simpson,"My name is Lisa Simpson, and I want to be Little Miss Springfield so I can make our town a better place!"
Homer Simpson,Yeah! Clean up this stink hole!
Jack Larson,Krusty! About time you got here.
Krusty the Clown,"Yeah, yeah. What is this -- the, uh, Republican fundraiser?"
Contestants,... CHECKING IT OUT / HITTING THE HEIGHTS / MAKING A WISH / DREAMING A DREAM...
Krusty the Clown,LITTLE MISS SPRINGFIELD / WHICH ONE WILL IT BEEE!
Contestants,Me!
Krusty the Clown,"Ooh, that brisket's not sittin' right."
Pahasatira,AND I'LL NEVER HAVE THAT RECIPE AGAIN / OH NOOO...
Krusty the Clown,"Ooh, that just kept goin' huh? And now here's... ... Lisa Simpson!"
Homer Simpson,They'll love you just as much as I do.
Lisa Simpson,"Thanks, Dad."
Homer Simpson,Hmmm.
Lisa Simpson,"Some people say that to love your country is old fashioned, uncool, real melvin... Well to them I say OH BEAUTIFUL, FOR SPACIOUS SKIES, FOR AMBER WAVES OF GRAIN..."
Lisa Simpson,One! Two! Three! Four!
Lisa Simpson,LEFT A GOOD JOB IN THE CITY -- WORKIN' FOR THE MAN EVERY NIGHT AND DAY...
Krusty the Clown,"This is my favorite part of the pageant, because... whazzat say?... Oh, it gives me a chance to visit with the girls personality, uh, personally. Amber, ""Do you think the Bill of Rights is a good thing or a bad thing?"""
Amber Dempsey,Um...
Krusty the Clown,"Take your time, dear."
Amber Dempsey,... Good thing.
Judges,Awwww...
Ralph Wiggum,"Ver-ry ""Wrigley""."
,
Lisa Simpson,"As Little Miss Springfield, it's my pleasure to welcome you to America, the Land of Opportunity."
Krusty the Clown,"And now it's time to name our runner-up, who if the winner doesn't fulfill her duties, blah blah blah wuzza wuzza wuzza. And don't say ""It'll never happen"", because we all remember that thing with whatsername... Click Click You know... Okay, the runner-up is..."
Krusty the Clown,"Lisa Simpson, which means Amber Dempsey is the new Little Miss Springfield!"
Krusty the Clown,"L THE LOSERS IN HER WAKE / ""I"" THE INCOME SHE WILL MAKE / ""T"" IS FOR HER TOOTH-FILLED MOUTH... / ""T"" IS FOR HER TOOTH-FILLED MOUTH..."
,
Scott Christian,"Coming up next, a new fad that's sweeping the nation. Wasting food."
Scott Christian,"But first, let's join the new Little Miss Springfield, Amber Dempsey, as she helps open the Danish super-chain ""SHOP""."
Kent Brockman,"Scott, everyone is here, from the Mayor's illegitimate son to our own Duff Blimp."
,
Barney Gumble,"Hey, can I drive?"
Pilot,"Well, I can't see the harm."
Kent Brockman,"Oh, the humanity. Anyway, to turn on the store's severe tire damage spikes, here's Little Miss Springfield."
Marge Simpson,Oh dear. It would be a shame if that pretty dress got wet.
Lisa Simpson,I'd say the greater danger is her scepter acting as a lightning rod. Unless it's made out of plastic.
Bart Simpson,Nope. Metal.
Kent Brockman,Ladies and Gentlemen. Little Miss Springfield has been struck by lightning!
,
Dave Shutton,"Doctor, what is Amber's condition?"
Dr. Julius Hibbert,"Oh she'll be fine. In fact, she's already won the Little Miss Intensive Care Pageant."
Krusty the Clown,Congratulations Lisa. You're the new Little Miss Springfield. Here's your scepter.
Krusty the Clown,Just kidding. Here you go.
Krusty the Clown,Just kidding.
Krusty the Clown,I deserved that.
,
Bart Simpson,That doesn't look like her body.
Museum Worker,The torso used to be Dr. Ruth. Her head is on a pike in the chamber of horrors.
Lisa Simpson,Hi fellas.
Chuck,"Love that ""chewing gum"" walk."
Chief Wiggum,"Actually, they're being deported."
,
Show Announcer,"And now, let's give a big Fort Springfield welcome to Mr. Bob Hope."
Bob Hope,What's the mayor's name?
Advance Man,Quimby.
Bob Hope,Beautiful.
Bob Hope,"Hello, this is Bob ""what the hell am I doing in Springfield"" Hope. Hey, how about that Mayor Quimby? He's some golfer! His golf balls spends more time under water than Greg Louganis."
Bob Hope,"And now, I want to show you what you're fighting for -- if there was a war on -- Little Miss Springfield. Isn't she beautiful?"
Soldier #1,Little Miss Springfield?!
Soldier #2,First Tony Randall cancels - now this.
,
Bob Hope,"Hey, set me down at that boat show."
,
Lisa Simpson,I'm going to be riding on a pack of cigarettes?
Jack Larson,Mm hm. We think you're the perfect spokesmodel for Laramies. It's part of our new campaign.
Jack Larson,Hmm classy.
Lisa Simpson,
Jack Larson,"Y'see, Lisa, it's been an unlucky year for Laramie. A lot of the people who smoke our product have been... well... dying, heh heh. And we need young smokers to take their place."
Lisa Simpson,I don't want to be a spokesperson for a cigarette company!
Jack Larson,"But you're a role model to young people. And we're thinking of retiring ""Menthol Moose""."
Homer Simpson,Bless you boys.
Marge Simpson,"Homer, those are ice cream men."
Homer Simpson,I know.
,
Lisa Simpson,Stop this float!
Santa Claus,What's the holdup? Go!
Lisa Simpson,I'm tired of being a corporate shill.
Lisa Simpson,From now I will speak out against the evils in society from dog napping to cigarettes.
,
Lisa Simpson,"Before I sing the National Anthem, I'd like to say that college football diverts funds badly needed for education and the arts."
Football Player,Let's get outta here!
,
Mayor Joe Quimby,"Gentlemen, we need to get Lisa Simpson out, and Amber Dempsy back in. But this glorified-crossing-guard-of-a-Police Chief won't get off his big fat can."
Chief Wiggum,Is it okay if I open these potato chips?
Jack Larson,"Gentlemen, our prayers have been answered. Take a look at our Little Miss Springfield's pageant application."
Mayor Joe Quimby,"Roxy, bring in a bottle of champagne."
Chief Wiggum,And some dip for these chips... somethin'.
Kent Brockman,Lisa Simpson is no longer Little Miss Springfield. She was stripped of her crown in a ceremony earlier today.
Kent Brockman,"Well, that's obviously the wrong footage. Uh, but it does seem the father of the deposed beauty queen, Homer Simpson, filled out the pageant application incorrectly. In the area under ""Do not write in the space"" he wrote ""okay."""
,
Homer Simpson,If it wasn't for me you'd still be queen. You must hate me.
Lisa Simpson,"Dad, do you remember why you entered me in that pageant?"
